Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL
1,A Bottom-Up DAG Structure Extraction Model for Math Word Problems,Application Domains,Yixuan Cao;Feng Hong;Hongwei Li;Ping Luo;,Chinese Academy of Sciences;University of Chinese Academy of Sciences;Pengcheng Laboratory;,China;,Technical,https://aaai.org/papers/00039-a-bottom-up-dag-structure-extraction-model-for-math-word-problems/,https://cdn.aaai.org/ojs/16075/16075-13-19569-1-2-20210518.pdf
2,A Hierarchical Approach to Multi-Event Survival Analysis,Application Domains,Donna Tjandra;Yifei He;Jenna Wiens;,University of Michigan;,United States;,Technical,https://aaai.org/papers/00591-a-hierarchical-approach-to-multi-event-survival-analysis/,https://cdn.aaai.org/ojs/16138/16138-13-19632-1-2-20210518.pdf
3,A Spatial Regulated Patch-Wise Approach for Cervical Dysplasia Diagnosis,Application Domains,Ying Zhang;Yifang Yin;Zhenguang Liu;Roger Zimmermann;,National University of Singapore;Northwestern Polytechnical University;Zhejiang Gongshang University;,Singapore;China;,Technical,https://aaai.org/papers/00733-a-spatial-regulated-patch-wise-approach-for-cervical-dysplasia-diagnosis/,https://cdn.aaai.org/ojs/16154/16154-13-19648-1-2-20210518.pdf
4,Alternative Baselines for Low-Shot 3D Medical Image Segmentation—An Atlas Perspective,Application Domains,Shuxin Wang;Shilei Cao;Dong Wei;Cong Xie;Kai Ma;Liansheng Wang;Deyu Meng;Yefeng Zheng;,Xiamen University;Tencent;Xi'an Jiao Tong University;,China;,Technical,https://aaai.org/papers/00634-alternative-baselines-for-low-shot-3d-medical-image-segmentation-an-atlas-perspective/,https://cdn.aaai.org/ojs/16143/16143-13-19637-1-2-20210518.pdf
5,Asynchronous Stochastic Gradient Descent for Extreme-Scale Recommender Systems,Application Domains,Lewis Liu;Kun Zhao;,University of Montreal;Alibaba Group;,Canada;China;,Technical,https://aaai.org/papers/00328-asynchronous-stochastic-gradient-descent-for-extreme-scale-recommender-systems/,https://cdn.aaai.org/ojs/16108/16108-13-19602-1-2-20210518.pdf
6,Automated Lay Language Summarization of Biomedical Scientific Reviews,Application Domains,Yue Guo;Wei Qiu;Yizhong Wang;Trevor Cohen;,University of Washington;,United States;,Technical,https://aaai.org/papers/00160-automated-lay-language-summarization-of-biomedical-scientific-reviews/,https://cdn.aaai.org/ojs/16089/16089-13-19583-1-2-20210518.pdf
7,Automated Symbolic Law Discovery: A Computer Vision Approach,Application Domains,Hengrui Xing;Ansaf Salleb-Aouissi;Nakul Verma;,Columbia University;,United States;,Technical,https://aaai.org/papers/00660-automated-symbolic-law-discovery-a-computer-vision-approach/,https://cdn.aaai.org/ojs/16146/16146-13-19640-1-2-20210518.pdf
8,Bigram and Unigram Based Text Attack via Adaptive Monotonic Heuristic Search,Application Domains,Xinghao Yang;Weifeng Liu;James Bailey;Dacheng Tao;Wei Liu;,University of Technology Sydney;China University of Petroleum (East China);University of Melbourne;University of Sydney;,Australia;China;,Technical,https://aaai.org/papers/00706-bigram-and-unigram-based-text-attack-via-adaptive-monotonic-heuristic-search/,https://cdn.aaai.org/ojs/16151/16151-13-19645-1-2-20210518.pdf
9,Bringing UMAP Closer to the Speed of Light with GPU Acceleration,Application Domains,Corey J. Nolet;Victor Lafargue;Edward Raff;Thejaswi Nanditale;Tim Oates;John Zedlewski;Joshua Patterson;,"NVIDIA;University of Maryland, Baltimore County;Booz Allen Hamilton;",United States;,Technical,https://aaai.org/papers/00418-bringing-umap-closer-to-the-speed-of-light-with-gpu-acceleration/,https://cdn.aaai.org/ojs/16118/16118-13-19612-1-2-20210518.pdf
10,Capturing Uncertainty in Unsupervised GPS Trajectory Segmentation Using Bayesian Deep Learning,Application Domains,Christos Markos;James J. Q. Yu;Richard Yi Da Xu;,Southern University of Science and Technology;University of Technology Sydney;,China;Australia;,Technical,https://aaai.org/papers/00390-capturing-uncertainty-in-unsupervised-gps-trajectory-segmentation-using-bayesian-deep-learning/,https://cdn.aaai.org/ojs/16115/16115-13-19609-1-2-20210518.pdf
11,CardioGAN: Attentive Generative Adversarial Network with Dual Discriminators for Synthesis of ECG from PPG,Application Domains,Pritam Sarkar;Ali Etemad;,Queen’s University;,Canada;,Technical,https://aaai.org/papers/00488-cardiogan-attentive-generative-adversarial-network-with-dual-discriminators-for-synthesis-of-ecg-from-ppg/,https://cdn.aaai.org/ojs/16126/16126-13-19620-1-2-20210518.pdf
