Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1,3D Pictorial Structures for Multiple View Articulated Pose Estimation,,Magnus Burenius;Josephine Sullivan;Stefan Carlsson;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Burenius_3D_Pictorial_Structures_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Burenius_3D_Pictorial_Structures_2013_CVPR_paper.pdf,,
2,3D R Transform on Spatio-temporal Interest Points for Action Recognition,,Chunfeng Yuan;Xi Li;Weiming Hu;Haibin Ling;Stephen Maybank;,Institute of Automation;University of Adelaide;Temple University;Birkbeck College;,China;Australia;United States;United Kingdom;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Yuan_3D_R_Transform_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Yuan_3D_R_Transform_2013_CVPR_paper.pdf,,
3,3D Visual Proxemics: Recognizing Human Interactions in 3D from a Single Image,,Ishani Chakraborty;Hui Cheng;Omar Javed;,SRI International;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Chakraborty_3D_Visual_Proxemics_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Chakraborty_3D_Visual_Proxemics_2013_CVPR_paper.pdf,,
4,"3D-Based Reasoning with Blocks, Support, and Stability",,Zhaoyin Jia;Andrew Gallagher;Ashutosh Saxena;Tsuhan Chen;,Cornell University;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Jia_3D-Based_Reasoning_with_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Jia_3D-Based_Reasoning_with_2013_CVPR_paper.pdf,,
5,A Bayesian Approach to Multimodal Visual Dictionary Learning,,Go Irie;Dong Liu;Zhenguo Li;Shih-Fu Chang;,NTT Corporation;Columbia University;,Japan;United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Irie_A_Bayesian_Approach_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Irie_A_Bayesian_Approach_2013_CVPR_paper.pdf,,
6,A Comparative Study of Modern Inference Techniques for Discrete Energy Minimization Problems,,J. Kappes;B. Andres;F. Hamprecht;C. Schnorr;S. Nowozin;D. Batra;S. Kim;B. Kausler;J. Lellmann;N. Komodakis;C. Rother;,Heidelberg University;Harvard University;Microsoft;Virginia Tech;Qualcomm;University of Cambridge;Ecole des Ponts ParisTech;,Germany;United States;United Kingdom;South Korea;France;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Kappes_A_Comparative_Study_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Kappes_A_Comparative_Study_2013_CVPR_paper.pdf,,
7,A Convex Regularizer for Reducing Color Artifact in Color Image Recovery,,Shunsuke Ono;Isao Yamada;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Ono_A_Convex_Regularize_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Ono_A_Convex_Regularize_2013_CVPR_paper.pdf,,
8,A Divide-and-Conquer Method for Scalable Low-Rank Latent Matrix Pursuit,,Yan Pan;Hanjiang Lai;Cong Liu;Shuicheng Yan;,Sun Yat-sen University;National University of Singapore;,China;Singapore;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Pan_A_Divide-and-Conquer_Method_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Pan_A_Divide-and-Conquer_Method_2013_CVPR_paper.pdf,,
9,A Fast Approximate AIB Algorithm for Distributional Word Clustering,,Lei Wang;Jianjia Zhang;Luping Zhou;Wanqing Li;,University of Wollongong;,Australia;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Wang_A_Fast_Approximate_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Wang_A_Fast_Approximate_2013_CVPR_paper.pdf,,
10,A Fast Semidefinite Approach to Solving Binary Quadratic Problems,,Peng Wang;Chunhua Shen;Anton van den Hengel;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Wang_A_Fast_Semidefinite_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Wang_A_Fast_Semidefinite_2013_CVPR_paper.pdf,,
11,A Fully-Connected Layered Model of Foreground and Background Flow,,Deqing Sun;Jonas Wulff;Erik B. Sudderth;Hanspeter Pfister;Michael J. Black;,Harvard University;Max Planck Institute for Intelligent Systems;Brown University;,United States;Germany;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Sun_A_Fully-Connected_Layered_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Sun_A_Fully-Connected_Layered_2013_CVPR_paper.pdf,,
