Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1,“Learning-Compression” Algorithms for Neural Net Pruning,,Miguel Á. Carreira-Perpiñán;Yerlan Idelbayev;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2018/html/Carreira-Perpinan_Learning-Compression_Algorithms_for_CVPR_2018_paper.html,https://openaccess.thecvf.com/content_cvpr_2018/papers/Carreira-Perpinan_Learning-Compression_Algorithms_for_CVPR_2018_paper.pdf,,
2,“Zero-Shot” Super-Resolution Using Deep Internal Learning,,Assaf Shocher;Nadav Cohen;Michal Irani;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2018/html/Shocher_Zero-Shot_Super-Resolution_Using_CVPR_2018_paper.html,https://openaccess.thecvf.com/content_cvpr_2018/papers/Shocher_Zero-Shot_Super-Resolution_Using_CVPR_2018_paper.pdf,,https://arxiv.org/abs/1712.06087v1
3,2D/3D Pose Estimation and Action Recognition Using Multitask Deep Learning,,Diogo C. Luvizon;David Picard;Hedi Tabia;,Paris Seine University;Sorbonne Université;,France;,Poster,https://openaccess.thecvf.com/content_cvpr_2018/html/Luvizon_2D3D_Pose_Estimation_CVPR_2018_paper.html,https://openaccess.thecvf.com/content_cvpr_2018/papers/Luvizon_2D3D_Pose_Estimation_CVPR_2018_paper.pdf,,https://arxiv.org/abs/arXiv:1802.09232
4,3D Human Pose Estimation in the Wild by Adversarial Learning,,Wei Yang;Wanli Ouyang;Xiaolong Wang;Jimmy Ren;Hongsheng Li;Xiaogang Wang;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2018/html/Yang_3D_Human_Pose_CVPR_2018_paper.html,https://openaccess.thecvf.com/content_cvpr_2018/papers/Yang_3D_Human_Pose_CVPR_2018_paper.pdf,,https://arxiv.org/abs/1803.09722v2
5,"3D Human Sensing, Action and Emotion Recognition in Robot Assisted Therapy of Children With Autism",,Elisabeta Marinoiu;Mihai Zanfir;Vlad Olaru;Cristian Sminchisescu;,Romanian Academy;Lund University;,Romania;Sweden;,Poster,https://openaccess.thecvf.com/content_cvpr_2018/html/Marinoiu_3D_Human_Sensing_CVPR_2018_paper.html,https://openaccess.thecvf.com/content_cvpr_2018/papers/Marinoiu_3D_Human_Sensing_CVPR_2018_paper.pdf,,
6,3D Object Detection With Latent Support Surfaces,,Zhile Ren;Erik B. Sudderth;,"Brown University;University of California, Irvine;",United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2018/html/Ren_3D_Object_Detection_CVPR_2018_paper.html,https://openaccess.thecvf.com/content_cvpr_2018/papers/Ren_3D_Object_Detection_CVPR_2018_paper.pdf,,
7,3D Pose Estimation and 3D Model Retrieval for Objects in the Wild,,Alexander Grabner;Peter M. Roth;Vincent Lepetit;,Graz University of Technology;University of Bordeaux;,Austria;France;,Poster,https://openaccess.thecvf.com/content_cvpr_2018/html/Grabner_3D_Pose_Estimation_CVPR_2018_paper.html,https://openaccess.thecvf.com/content_cvpr_2018/papers/Grabner_3D_Pose_Estimation_CVPR_2018_paper.pdf,,https://arxiv.org/abs/arXiv:1803.11493
8,3D Registration of Curves and Surfaces Using Local Differential Information,,Carolina Raposo;João P. Barreto;,University of Coimbra;Perceive3D;,Portugal;,Poster,https://openaccess.thecvf.com/content_cvpr_2018/html/Raposo_3D_Registration_of_CVPR_2018_paper.html,https://openaccess.thecvf.com/content_cvpr_2018/papers/Raposo_3D_Registration_of_CVPR_2018_paper.pdf,,https://arxiv.org/abs/arXiv:1804.00637
9,3D Semantic Segmentation With Submanifold Sparse Convolutional Networks,,Benjamin Graham;Martin Engelcke;Laurens van der Maaten;,Meta;University of Oxford;,United States;United Kingdom;,Poster,https://openaccess.thecvf.com/content_cvpr_2018/html/Graham_3D_Semantic_Segmentation_CVPR_2018_paper.html,https://openaccess.thecvf.com/content_cvpr_2018/papers/Graham_3D_Semantic_Segmentation_CVPR_2018_paper.pdf,,https://arxiv.org/abs/1711.10275v1
10,3D Semantic Trajectory Reconstruction From 3D Pixel Continuum,,Jae Shin Yoon;Ziwei Li;Hyun Soo Park;,University of Minnesota;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2018/html/Yoon_3D_Semantic_Trajectory_CVPR_2018_paper.html,https://openaccess.thecvf.com/content_cvpr_2018/papers/Yoon_3D_Semantic_Trajectory_CVPR_2018_paper.pdf,,https://arxiv.org/abs/arXiv:1712.01359
