Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1,"‘Just What do You Think You’re Doing, Dave?’ A Checklist for Responsible Data Use in NLP",,Anna Rogers;Timothy Baldwin;Kobi Leins;,University of Copenhagen;University of Melbourne;King's College London;,Denmark;Australia;United Kingdom;,finding,https://aclanthology.org/2021.findings-emnlp.414/,https://aclanthology.org/2021.findings-emnlp.414.pdf,,
2,“Average” Approximates “First Principal Component”? An Empirical Analysis on Representations from Neural Language Models,,Zihan Wang;Chengyu Dong;Jingbo Shang;,"University of California, San Diego;",United States;,Main,https://aclanthology.org/2021.emnlp-main.453/,https://aclanthology.org/2021.emnlp-main.453.pdf,,
3,“Be nice to your wife! The restaurants are closed”: Can Gender Stereotype Detection Improve Sexism Classification?,,Patricia Chiril;Farah Benamara;Véronique Moriceau;,Université de Toulouse;,France;,finding,https://aclanthology.org/2021.findings-emnlp.242/,https://aclanthology.org/2021.findings-emnlp.242.pdf,,
4,“It doesn’t look good for a date”: Transforming Critiques into Preferences for Conversational Recommendation Systems,,Victor Bursztyn;Jennifer Healey;Nedim Lipka;Eunyee Koh;Doug Downey;Larry Birnbaum;,Northwestern University;Allen Institute for Artificial Intelligence;Adobe;,United States;,Main,https://aclanthology.org/2021.emnlp-main.145/,https://aclanthology.org/2021.emnlp-main.145.pdf,,
5,“Let Your Characters Tell Their Story”: A Dataset for Character-Centric Narrative Understanding,,Faeze Brahman;Meng Huang;Oyvind Tafjord;Chao Zhao;Mrinmaya Sachan;Snigdha Chaturvedi;,"University of California, Santa Cruz;University of Chicago;Allen Institute for AI;University of North Carolina at Chapel Hill;ETH Zurich;",United States;Switzerland;,finding,https://aclanthology.org/2021.findings-emnlp.150/,https://aclanthology.org/2021.findings-emnlp.150.pdf,,
6,“So You Think You’re Funny?”: Rating the Humour Quotient in Standup Comedy,,Anirudh Mittal;Pranav Jeevan P;Prerak Gandhi;Diptesh Kanojia;Pushpak Bhattacharyya;,Indian Institute of Technology Bombay;University of Surrey;,India;United Kingdom;,Main,https://aclanthology.org/2021.emnlp-main.789/,https://aclanthology.org/2021.emnlp-main.789.pdf,,
7,“Was it “stated” or was it “claimed”?: How linguistic bias affects generative language models,,Roma Patel;Ellie Pavlick;,Brown University;,United States;,Main,https://aclanthology.org/2021.emnlp-main.790/,https://aclanthology.org/2021.emnlp-main.790.pdf,,
8,“Wikily” Supervised Neural Translation Tailored to Cross-Lingual Tasks,,Mohammad Sadegh Rasooli;Chris Callison-Burch;Derry Tanti Wijaya;,Microsoft;University of Pennsylvania;Boston University;,United States;,Main,https://aclanthology.org/2021.emnlp-main.124/,https://aclanthology.org/2021.emnlp-main.124.pdf,,
9,(Mis)alignment Between Stance Expressed in Social Media Data and Public Opinion Surveys,,Kenneth Joseph;Sarah Shugars;Ryan Gallagher;Jon Green;Alexi Quintana Mathé;Zijian An;David Lazer;,University at Buffalo;New York University;Northeastern University;,United States;,Main,https://aclanthology.org/2021.emnlp-main.27/,https://aclanthology.org/2021.emnlp-main.27.pdf,,
10,#HowYouTagTweets: Learning User Hashtagging Preferences via Personalized Topic Attention,,Yuji Zhang;Yubo Zhang;Chunpu Xu;Jing Li;Ziyan Jiang;Baolin Peng;,Hong Kong Polytechnic University;Amazon;Microsoft;,China;United States;,Main,https://aclanthology.org/2021.emnlp-main.616/,https://aclanthology.org/2021.emnlp-main.616.pdf,,
11,A Bag of Tricks for Dialogue Summarization,,Muhammad Khalifa;Miguel Ballesteros;Kathleen McKeown;,Cairo University;Amazon;Columbia University;,Egypt;United States;,Main,https://aclanthology.org/2021.emnlp-main.631/,https://aclanthology.org/2021.emnlp-main.631.pdf,,
12,A Bayesian Framework for Information-Theoretic Probing,,Tiago Pimentel;Ryan Cotterell;,University of Cambridge;ETH Zurich;,United Kingdom;Switzerland;,Main,https://aclanthology.org/2021.emnlp-main.229/,https://aclanthology.org/2021.emnlp-main.229.pdf,,
13,A Collaborative Multi-agent Reinforcement Learning Framework for Dialog Action Decomposition,,Huimin Wang;Kam-Fai Wong;,Chinese University of Hong Kong;,China;,Main,https://aclanthology.org/2021.emnlp-main.621/,https://aclanthology.org/2021.emnlp-main.621.pdf,,
