Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1,,3d representations for recognition and localization,Hao Su;Fan Wang;Eric Yi;Leonidas J. Guibas;,,,Oral,http://openaccess.thecvf.com/content_iccv_2015/papers/Su_3D-Assisted_Feature_Synthesis_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Su_3D-Assisted_Feature_Synthesis_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Su_3D-Assisted_Feature_Synthesis_ICCV_2015_paper.html,
2,,3d representations for recognition and localization,Bernhard Zeisl;Torsten Sattler;Marc Pollefeys;,ETH Zurich;,Switzerland;,Oral,http://openaccess.thecvf.com/content_iccv_2015/papers/Zeisl_Camera_Pose_Voting_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Zeisl_Camera_Pose_Voting_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Zeisl_Camera_Pose_Voting_ICCV_2015_paper.html,
3,,3d representations for recognition and localization,Shenlong Wang;Sanja Fidler;Raquel Urtasun;,University of Toronto;,Canada;,Oral,http://openaccess.thecvf.com/content_iccv_2015/papers/Wang_Lost_Shopping_Monocular_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Wang_Lost_Shopping_Monocular_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Wang_Lost_Shopping_Monocular_ICCV_2015_paper.html,
4,,3d representations for recognition and localization,Hao Su;Charles R. Qi;Yangyan Li;Leonidas J. Guibas;,,,Oral,http://openaccess.thecvf.com/content_iccv_2015/papers/Su_Render_for_CNN_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Su_Render_for_CNN_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Su_Render_for_CNN_ICCV_2015_paper.html,
5,,3d vision,Ricardo Martin-Brualla;David Gallup;Steven M. Seitz;,University of Washington;Google;,United States;,Oral,http://openaccess.thecvf.com/content_iccv_2015/papers/Martin-Brualla_3D_Time-Lapse_Reconstruction_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Martin-Brualla_3D_Time-Lapse_Reconstruction_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Martin-Brualla_3D_Time-Lapse_Reconstruction_ICCV_2015_paper.html,
6,,3d vision,Benjamin Ummenhofer;Thomas Brox;,University of Freiburg;,Germany;,Oral,http://openaccess.thecvf.com/content_iccv_2015/papers/Ummenhofer_Global_Dense_Multiscale_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Ummenhofer_Global_Dense_Multiscale_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Ummenhofer_Global_Dense_Multiscale_ICCV_2015_paper.html,
7,,3d vision,Sagi Katz;Ayellet Tal;,Technion–Israel Institute of Technology;,Israel;,Oral,http://openaccess.thecvf.com/content_iccv_2015/papers/Katz_On_the_Visibility_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Katz_On_the_Visibility_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Katz_On_the_Visibility_ICCV_2015_paper.html,
8,,3d vision,Satoshi Ikehata;Hang Yang;Yasutaka Furukawa;,Washington University in St. Louis;,United States;,Oral,http://openaccess.thecvf.com/content_iccv_2015/papers/Ikehata_Structured_Indoor_Modeling_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Ikehata_Structured_Indoor_Modeling_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Ikehata_Structured_Indoor_Modeling_ICCV_2015_paper.html,
9,,computational photography and image enhancement,Aviad Levis;Yoav Y. Schechner;Amit Aides;Anthony B. Davis;,Technion - Israel Institute of Technology;California Institute of Technology;,Israel;United States;,Oral,http://openaccess.thecvf.com/content_iccv_2015/papers/Levis_Airborne_Three-Dimensional_Cloud_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Levis_Airborne_Three-Dimensional_Cloud_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Levis_Airborne_Three-Dimensional_Cloud_ICCV_2015_paper.html,
10,,computational photography and image enhancement,Tomas F. Yago Vicente;Minh Hoai;Dimitris Samaras;,Stony Brook University;,United States;,Oral,http://openaccess.thecvf.com/content_iccv_2015/papers/Vicente_Leave-One-Out_Kernel_Optimization_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Vicente_Leave-One-Out_Kernel_Optimization_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Vicente_Leave-One-Out_Kernel_Optimization_ICCV_2015_paper.html,
