Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,ALISTA: Analytic Weights Are As Good As Learned Weights in LISTA,,Jialin Liu;Xiaohan Chen;Zhangyang Wang;Wotao Yin;,,Poster,https://openreview.net/forum?id=B1lnzn0ctQ,https://openreview.net/pdf?id=B1lnzn0ctQ
2,GENERATING HIGH FIDELITY IMAGES WITH SUBSCALE PIXEL NETWORKS AND MULTIDIMENSIONAL UPSCALING,,Jacob Menick;Nal Kalchbrenner;,,Oral,https://openreview.net/forum?id=HylzTiC5Km,https://openreview.net/pdf?id=HylzTiC5Km
3,Benchmarking Neural Network Robustness to Common Corruptions and Perturbations,,Dan Hendrycks;Thomas Dietterich;,,Poster,https://openreview.net/forum?id=HJz6tiCqYm,https://openreview.net/pdf?id=HJz6tiCqYm
4,"On Random Deep Weight-Tied Autoencoders: Exact Asymptotic Analysis, Phase Transitions, and Implications to Training",,Ping Li;Phan-Minh Nguyen;,,Oral,https://openreview.net/forum?id=HJx54i05tX,https://openreview.net/pdf?id=HJx54i05tX
5,A Unified Theory of Early Visual Representations from Retina to Cortex through Anatomically Constrained Deep CNNs,,Jack Lindsey;Samuel A. Ocko;Surya Ganguli;Stephane Deny;,,Oral,https://openreview.net/forum?id=S1xq3oR5tQ,https://openreview.net/pdf?id=S1xq3oR5tQ
6,An Empirical Study of Example Forgetting during Deep Neural Network Learning,,Mariya Toneva*;Alessandro Sordoni*;Remi Tachet des Combes*;Adam Trischler;Yoshua Bengio;Geoffrey J. Gordon;,,Poster,https://openreview.net/forum?id=BJlxm30cKm,https://openreview.net/pdf?id=BJlxm30cKm
7,Near-Optimal Representation Learning for Hierarchical Reinforcement Learning,,Ofir Nachum;Shixiang Gu;Honglak Lee;Sergey Levine;,,Poster,https://openreview.net/forum?id=H1emus0qF7,https://openreview.net/pdf?id=H1emus0qF7
8,Posterior Attention Models for Sequence to Sequence Learning,,Shiv Shankar;Sunita Sarawagi;,,Poster,https://openreview.net/forum?id=BkltNhC9FX,https://openreview.net/pdf?id=BkltNhC9FX
9,Slimmable Neural Networks,,Jiahui Yu;Linjie Yang;Ning Xu;Jianchao Yang;Thomas Huang;,,Poster,https://openreview.net/forum?id=H1gMCsAqY7,https://openreview.net/pdf?id=H1gMCsAqY7
10,SNIP: SINGLE-SHOT NETWORK PRUNING BASED ON CONNECTION SENSITIVITY,,Namhoon Lee;Thalaiyasingam Ajanthan;Philip Torr;,,Poster,https://openreview.net/forum?id=B1VZqjAcYX,https://openreview.net/pdf?id=B1VZqjAcYX
11,Temporal Difference Variational Auto-Encoder,,Karol Gregor;George Papamakarios;Frederic Besse;Lars Buesing;Theophane Weber;,,Oral,https://openreview.net/forum?id=S1x4ghC9tQ,https://openreview.net/pdf?id=S1x4ghC9tQ
12,BA-Net: Dense Bundle Adjustment Networks,,Chengzhou Tang;Ping Tan;,,Oral,https://openreview.net/forum?id=B1gabhRcYX,https://openreview.net/pdf?id=B1gabhRcYX
13,Pay Less Attention with Lightweight and Dynamic Convolutions,,Felix Wu;Angela Fan;Alexei Baevski;Yann Dauphin;Michael Auli;,,Oral,https://openreview.net/forum?id=SkVhlh09tX,https://openreview.net/pdf?id=SkVhlh09tX
14,Enabling Factorized Piano Music Modeling and Generation with the MAESTRO Dataset,,Curtis Hawthorne;Andriy Stasyuk;Adam Roberts;Ian Simon;Cheng-Zhi Anna Huang;Sander Dieleman;Erich Elsen;Jesse Engel;Douglas Eck;,,Oral,https://openreview.net/forum?id=r1lYRjC9F7,https://openreview.net/pdf?id=r1lYRjC9F7
15,Large Scale GAN Training for High Fidelity Natural Image Synthesis,,Andrew Brock;Jeff Donahue;Karen Simonyan;,,Oral,https://openreview.net/forum?id=B1xsqj09Fm,https://openreview.net/pdf?id=B1xsqj09Fm
16,Ordered Neurons: Integrating Tree Structures into Recurrent Neural Networks,,Yikang Shen;Shawn Tan;Alessandro Sordoni;Aaron Courville;,,Oral,https://openreview.net/forum?id=B1l6qiR5F7,https://openreview.net/pdf?id=B1l6qiR5F7
17,Understanding and Improving Interpolation in Autoencoders via an Adversarial Regularizer,,David Berthelot*;Colin Raffel*;Aurko Roy;Ian Goodfellow;,,Poster,https://openreview.net/forum?id=S1fQSiCcYm,https://openreview.net/pdf?id=S1fQSiCcYm
18,Meta-Learning Update Rules for Unsupervised Representation Learning,,Luke Metz;Niru Maheswaranathan;Brian Cheung;Jascha Sohl-Dickstein;,,Oral,https://openreview.net/forum?id=HkNDsiC9KQ,https://openreview.net/pdf?id=HkNDsiC9KQ
19,Unsupervised Learning of the Set of Local Maxima,,Lior Wolf;Sagie Benaim;Tomer Galanti;,,Poster,https://openreview.net/forum?id=H1lqZhRcFm,https://openreview.net/pdf?id=H1lqZhRcFm
20,"Variational Discriminator Bottleneck: Improving Imitation Learning, Inverse RL, and GANs by Constraining Information Flow",,Xue Bin Peng;Angjoo Kanazawa;Sam Toyer;Pieter Abbeel;Sergey Levine;,,Poster,https://openreview.net/forum?id=HyxPx3R9tm,https://openreview.net/pdf?id=HyxPx3R9tm
21,A2BCD: Asynchronous Acceleration with Optimal Complexity,,Robert Hannah;Fei Feng;Wotao Yin;,,Poster,https://openreview.net/forum?id=rylIAsCqYm,https://openreview.net/pdf?id=rylIAsCqYm
22,Critical Learning Periods in Deep Networks,,Alessandro Achille;Matteo Rovere;Stefano Soatto;,,Poster,https://openreview.net/forum?id=BkeStsCcKQ,https://openreview.net/pdf?id=BkeStsCcKQ
23,Adaptive Input Representations for Neural Language Modeling,,Alexei Baevski;Michael Auli;,,Poster,https://openreview.net/forum?id=ByxZX20qFQ,https://openreview.net/pdf?id=ByxZX20qFQ
24,Composing Complex Skills by Learning Transition Policies,,Youngwoon Lee*;Shao-Hua Sun*;Sriram Somasundaram;Edward S. Hu;Joseph J. Lim;,,Poster,https://openreview.net/forum?id=rygrBhC5tQ,https://openreview.net/pdf?id=rygrBhC5tQ
25,ImageNet-trained CNNs are biased towards texture; increasing shape bias improves accuracy and robustness,,Robert Geirhos;Patricia Rubisch;Claudio Michaelis;Matthias Bethge;Felix A. Wichmann;Wieland Brendel;,,Oral,https://openreview.net/forum?id=Bygh9j09KX,https://openreview.net/pdf?id=Bygh9j09KX
26,KnockoffGAN: Generating Knockoffs for Feature Selection using Generative Adversarial Networks,,James Jordon;Jinsung Yoon;Mihaela van der Schaar;,,Oral,https://openreview.net/forum?id=ByeZ5jC5YQ,https://openreview.net/pdf?id=ByeZ5jC5YQ
27,Lagging Inference Networks and Posterior Collapse in Variational Autoencoders,,Junxian He;Daniel Spokoyny;Graham Neubig;Taylor Berg-Kirkpatrick;,,Poster,https://openreview.net/forum?id=rylDfnCqF7,https://openreview.net/pdf?id=rylDfnCqF7
28,Learning deep representations by mutual information estimation and maximization,,R Devon Hjelm;Alex Fedorov;Samuel Lavoie-Marchildon;Karan Grewal;Phil Bachman;Adam Trischler;Yoshua Bengio;,,Oral,https://openreview.net/forum?id=Bklr3j0cKX,https://openreview.net/pdf?id=Bklr3j0cKX
