Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,“Other-Play” for Zero-Shot Coordination,,Hengyuan Hu;Adam Lerer;Alex Peysakhovich;Jakob Foerster;,Meta;,Poster,,http://proceedings.mlr.press/v119/hu20a/hu20a.pdf
2,(Locally) Differentially Private Combinatorial Semi-Bandits,,Xiaoyu Chen;Kai Zheng;Zixin Zhou;Yunchang Yang;Wei Chen;Liwei Wang;,Peking University;Microsoft;,Poster,,http://proceedings.mlr.press/v119/chen20y/chen20y.pdf
3,A Chance-Constrained Generative Framework for Sequence Optimization,,Xianggen Liu;Qiang Liu;Sen Song;Jian Peng;,Tsinghua University;University of Texas at Austin;University of Illinois Urbana-Champaign;,Poster,,http://proceedings.mlr.press/v119/liu20i/liu20i.pdf
4,A Distributional Framework For Data Valuation,,Amirata Ghorbani;Michael Kim;James Zou;,Stanford University;,Poster,,http://proceedings.mlr.press/v119/ghorbani20a/ghorbani20a.pdf
5,A distributional view on multi-objective policy optimization,,Abbas Abdolmaleki;Sandy Huang;Leonard Hasenclever;Michael Neunert;Francis Song;Martina Zambelli;Murilo Martins;Nicolas Heess;Raia Hadsell;Martin Riedmiller;,DeepMind;,Poster,,http://proceedings.mlr.press/v119/abdolmaleki20a/abdolmaleki20a.pdf
6,A Finite-Time Analysis of Q-Learning with Neural Network Function Approximation,,Pan Xu;Quanquan Gu;,"University of California, Los Angeles;",Poster,,http://proceedings.mlr.press/v119/xu20c/xu20c.pdf
7,A Flexible Framework for Nonparametric Graphical Modeling that Accommodates Machine Learning,,Yunhua Xiang;Noah Simon;,University of Washington;,Poster,,http://proceedings.mlr.press/v119/xiang20a/xiang20a.pdf
8,A Flexible Latent Space Model for Multilayer Networks,,Xuefei Zhang;Songkai Xue;Ji Zhu;,University of Michigan;,Poster,,http://proceedings.mlr.press/v119/zhang20aa/zhang20aa.pdf
9,A Free-Energy Principle for Representation Learning,,Yansong Gao;Pratik Chaudhari;,University of Pennsylvania;,Poster,,http://proceedings.mlr.press/v119/gao20a/gao20a.pdf
10,A Game Theoretic Framework for Model Based Reinforcement Learning,,Aravind Rajeswaran;Igor Mordatch;Vikash Kumar;,Google;University of Washington;,Poster,,http://proceedings.mlr.press/v119/rajeswaran20a/rajeswaran20a.pdf
11,A general recurrent state space framework for modeling neural dynamics during decision-making,,David Zoltowski;Jonathan Pillow;Scott Linderman;,Princeton University;Stanford University;,Poster,,http://proceedings.mlr.press/v119/zoltowski20a/zoltowski20a.pdf
12,A Generative Model for Molecular Distance Geometry,,Gregor Simm;Jose Miguel Hernandez-Lobato;,University of Cambridge;,Poster,,http://proceedings.mlr.press/v119/simm20a/simm20a.pdf
13,A Generic First-Order Algorithmic Framework for Bi-Level Programming Beyond Lower-Level Singleton,,Risheng Liu;Pan Mu;Xiaoming Yuan;Shangzhi Zeng;Jin Zhang;,Dalian University of Technology;Liaoning Province Key Laboratory for Ubiquitous Network and Service Software;University of Hong Kong;Southern University of Science and Technology;,Poster,,http://proceedings.mlr.press/v119/liu20l/liu20l.pdf
14,A Geometric Approach to Archetypal Analysis via Sparse Projections,,Vinayak Abrol;Pulkit Sharma;,University of Oxford;,Poster,,http://proceedings.mlr.press/v119/abrol20a/abrol20a.pdf
15,A Graph to Graphs Framework for Retrosynthesis Prediction,,Chence Shi;Minkai Xu;Hongyu Guo;Ming Zhang;Jian Tang;,Peking University;Shanghai Jiao Tong University;National Research Council Canada;Montréal Institute for Learning Algorithms;Canadian Institute for Advanced Research;HEC Montréal;,Poster,,http://proceedings.mlr.press/v119/shi20d/shi20d.pdf
16,A Markov Decision Process Model for Socio-Economic Systems Impacted by Climate Change,,Salman Sadiq Shuvo;Yasin Yilmaz;Alan Bush;Mark Hafen;,University of South Florida;,Poster,,http://proceedings.mlr.press/v119/shuvo20a/shuvo20a.pdf
17,A Mean Field Analysis Of Deep ResNet And Beyond: Towards Provably Optimization Via Overparameterization From Depth,,Yiping Lu;Chao Ma;Yulong Lu;Jianfeng Lu;Lexing Ying;,Stanford University;Princeton University;Duke University;,Poster,,http://proceedings.mlr.press/v119/lu20b/lu20b.pdf
18,A Natural Lottery Ticket Winner: Reinforcement Learning with Ordinary Neural Circuits,,Ramin Hasani;Mathias Lechner;Alexander Amini;Daniela Rus;Radu Grosu;,Technische Universität Wien;Massachusetts Institute of Technology;Institute of Science and Technology Austria;,Poster,,http://proceedings.mlr.press/v119/hasani20a/hasani20a.pdf
19,A Nearly-Linear Time Algorithm for Exact Community Recovery in Stochastic Block Model,,Peng Wang;Zirui Zhou;Anthony Man-Cho So;,Chinese University of Hong Kong;Huawei;,Poster,,http://proceedings.mlr.press/v119/wang20ac/wang20ac.pdf
20,A new regret analysis for Adam-type algorithms,,Ahmet Alacaoglu;Yura Malitsky;Panayotis Mertikopoulos;Volkan Cevher;,EPFL;Universite Grenoble Alpes;Criteo;,Poster,,http://proceedings.mlr.press/v119/alacaoglu20b/alacaoglu20b.pdf
21,A Pairwise Fair and Community-preserving Approach to k-Center Clustering,,Brian Brubach;Darshan Chakrabarti;John Dickerson;Samir Khuller;Aravind Srinivasan;Leonidas Tsepenekas;,,Poster,,http://proceedings.mlr.press/v119/brubach20a/brubach20a.pdf
22,A Quantile-based Approach for Hyperparameter Transfer Learning,,David Salinas;Huibin Shen;Valerio Perrone;,NAVER LABS Europe;Amazon;,Poster,,http://proceedings.mlr.press/v119/salinas20a/salinas20a.pdf
23,A Sample Complexity Separation between Non-Convex and Convex Meta-Learning,,Nikunj Saunshi;Yi Zhang;Mikhail Khodak;Sanjeev Arora;,Princeton University;Carnegie Mellon University;Institute for Advanced Study;,Poster,,http://proceedings.mlr.press/v119/saunshi20a/saunshi20a.pdf
