Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1,1 kHz Behavior Tree for Self-adaptable Tactile Insertion,,Yansong Wu;Fan Wu;Lingyun Chen;Kejia Chen;Samuel Schneider;Lars Johannsmeier;Zhenshan Bing;Fares J. Abu-Dakka;Alois Knoll;Sami Haddadin;Yansong Wu;Fan Wu;Lingyun Chen;Kejia Chen;Samuel Schneider;Lars Johannsmeier;Zhenshan Bing;Fares J. Abu-Dakka;Alois Knoll;Sami Haddadin;,Technical University of Munich;Franka Robotics GmbH;Mondragon Unibertsitatea;,Germany;Spain;,Poster,https://ieeexplore.ieee.org/document/10610835/,,,
2,17-Point Algorithm Revisited: Toward a More Accurate Way,,Chen Xie;Rui Xing;Ning Hao;Fenghua He;Chen Xie;Rui Xing;Ning Hao;Fenghua He;,Harbin Institute of Technology;,China;,Poster,https://ieeexplore.ieee.org/document/10611149/,,,
3,2D-3D Object Shape Alignment for Camera-Object Pose Compensation in Object-Visual SLAM,,Hanyeol Lee;Jae Hyung Jung;Chan Gook Park;Hanyeol Lee;Jae Hyung Jung;Chan Gook Park;,Seoul National University;Technical University of Munich;,South Korea;Germany;,Poster,https://ieeexplore.ieee.org/document/10610659/,,,
4,3D Autocomplete: Enhancing UAV Teleoperation with AI in the Loop,,Batool Ibrahim;Imad H. Elhajj;Daniel Asmar;Batool Ibrahim;Imad H. Elhajj;Daniel Asmar;,American University of Beirut;,Lebanon;,Poster,https://ieeexplore.ieee.org/document/10610932/,,,
5,3D Force and Contact Estimation for a Soft-Bubble Visuotactile Sensor Using FEM,,Jing-Chen Peng;Shaoxiong Yao;Kris Hauser;Jing-Chen Peng;Shaoxiong Yao;Kris Hauser;,University of Illinois Urbana-Champaign;,United States;,Poster,https://ieeexplore.ieee.org/document/10610233/,,,
6,3D Navigation of a Magnetic Swimmer Using a 2D Ultrasonography Probe Manipulated by a Robotic Arm for Position Feedback,,Premal Gorroochurn;Charles P. Hong;Carter M. Klebuc;Yitong Lu;Khue Phan;Javier Garcia;Aaron T. Becker;Julien Leclerc;Premal Gorroochurn;Charles P. Hong;Carter M. Klebuc;Yitong Lu;Khue Phan;Javier Garcia;Aaron T. Becker;Julien Leclerc;,Columbia University;Georgia Institute of Technology;University of Houston;Kerr High School;,United States;,Poster,https://ieeexplore.ieee.org/document/10611538/,,,
7,3D Object Detection with VI-SLAM Point Clouds: The Impact of Object and Environment Characteristics on Model Performance,,Lin Duan;Tim Scargill;Ying Chen;Maria Gorlatova;Lin Duan;Tim Scargill;Ying Chen;Maria Gorlatova;,Duke University;,United States;,Poster,https://ieeexplore.ieee.org/document/10610778/,,,
8,3D-BBS: Global Localization for 3D Point Cloud Scan Matching Using Branch-and-Bound Algorithm,,Koki Aoki;Kenji Koide;Shuji Oishi;Masashi Yokozuka;Atsuhiko Banno;Junichi Meguro;Koki Aoki;Kenji Koide;Shuji Oishi;Masashi Yokozuka;Atsuhiko Banno;Junichi Meguro;,Meijo University;National Institute of Advanced Industrial Science and Technology;,Japan;,Poster,https://ieeexplore.ieee.org/document/10610810/,,,
9,3D-OAE: Occlusion Auto-Encoders for Self-Supervised Learning on Point Clouds,,Junsheng Zhou;Xin Wen;Baorui Ma;Yu-Shen Liu;Yue Gao;Yi Fang;Zhizhong Han;Junsheng Zhou;Xin Wen;Baorui Ma;Yu-Shen Liu;Yue Gao;Yi Fang;Zhizhong Han;,Tsinghua University;NVIDIA;New York University;Wayne State University;,China;United States;,Poster,https://ieeexplore.ieee.org/document/10610588/,,,
10,3QFP: Efficient neural implicit surface reconstruction using Tri-Quadtrees and Fourier feature Positional encoding,,Shuo Sun;Malcolm Mielle;Achim J. Lilienthal;Martin Magnusson;Shuo Sun;Malcolm Mielle;Achim J. Lilienthal;Martin Magnusson;,Örebro University;Independent Researcher;Technical University of Munich;,Sweden;;Germany;,Poster,https://ieeexplore.ieee.org/document/10610338/,,,
