Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL
1,"A Polynomial-time, Truthful, Individually Rational and Budget Balanced Ridesharing Mechanism",Agent-based and Multi-agent Systems,Tatsuya Iwase;Sebastian Stein;Enrico H. Gerding;,Toyota Motor Europe;University of Southampton;,Belgium;United Kingdom;,Poster,https://www.ijcai.org/proceedings/2021/38,https://www.ijcai.org/proceedings/2021/0038.pdf
2,Accomplice Manipulation of the Deferred Acceptance Algorithm,Agent-based and Multi-agent Systems,Hadi Hosseini;Fatima Umar;Rohit Vaish;,Pennsylvania State University;Rochester Institute of Technology;Tata Institute of Fundamental Research;,United States;India;,Poster,https://www.ijcai.org/proceedings/2021/33,https://www.ijcai.org/proceedings/2021/0033.pdf
3,Almost Envy-Freeness for Groups: Improved Bounds via Discrepancy Theory,Agent-based and Multi-agent Systems,Pasin Manurangsi;Warut Suksompong;,Google;National University of Singapore;,United States;Singapore;,Poster,https://www.ijcai.org/proceedings/2021/47,https://www.ijcai.org/proceedings/2021/0047.pdf
4,Altruism Design in Networked Public Goods Games,Agent-based and Multi-agent Systems,Sixie Yu;David Kempe;Yevgeniy Vorobeychik;,Washington University in St. Louis;University of Southern California;,United States;,Poster,https://www.ijcai.org/proceedings/2021/69,https://www.ijcai.org/proceedings/2021/0069.pdf
5,An Axiom System for Feedback Centralities,Agent-based and Multi-agent Systems,Tomasz Wąs;Oskar Skibski;,University of Warsaw;,Poland;,Poster,https://www.ijcai.org/proceedings/2021/62,https://www.ijcai.org/proceedings/2021/0062.pdf
6,Approximating the Shapley Value Using Stratified Empirical Bernstein Sampling,Agent-based and Multi-agent Systems,Mark A. Burgess;Archie C. Chapman;,Australian National University;University of Queensland;,Australia;,Poster,https://www.ijcai.org/proceedings/2021/11,https://www.ijcai.org/proceedings/2021/0011.pdf
7,Budget-feasible Maximum Nash Social Welfare is Almost Envy-free,Agent-based and Multi-agent Systems,Xiaowei Wu;Bo Li;Jiarui Gan;,University of Macau;Hong Kong Polytechnic University;Max Planck Institute for Software Systems;,China;Germany;,Poster,https://www.ijcai.org/proceedings/2021/65,https://www.ijcai.org/proceedings/2021/0065.pdf
8,Budget-feasible Mechanisms for Representing Groups of Agents Proportionally,Agent-based and Multi-agent Systems,Xiang Liu;Hau Chan;Minming Li;Weiwei Wu;,Southeast University;University of Nebraska–Lincoln;City University of Hong Kong;,China;United States;,Poster,https://www.ijcai.org/proceedings/2021/44,https://www.ijcai.org/proceedings/2021/0044.pdf
9,Combining Fairness and Optimality when Selecting and Allocating Projects,Agent-based and Multi-agent Systems,Khaled Belahcène;Vincent Mousseau;Anaëlle Wilczynski;,Université de Technologie de Compiègne;CentraleSupélec;,France;,Poster,https://www.ijcai.org/proceedings/2021/6,https://www.ijcai.org/proceedings/2021/0006.pdf
10,Cooperation in Threshold Public Projects with Binary Actions,Agent-based and Multi-agent Systems,Yiling Chen;Biaoshuai Tao;Fang-Yi Yu;,Harvard University;Shanghai Jiao Tong University;,United States;China;,Poster,https://www.ijcai.org/proceedings/2021/15,https://www.ijcai.org/proceedings/2021/0015.pdf
11,Data-Driven Methods for Balancing Fairness and Efficiency in Ride-Pooling,Agent-based and Multi-agent Systems,Naveen Raman;Sanket Shah;John Dickerson;,University of Maryland;Harvard University;,United States;,Poster,https://www.ijcai.org/proceedings/2021/51,https://www.ijcai.org/proceedings/2021/0051.pdf
12,Data-Efficient Reinforcement Learning for Malaria Control,Agent-based and Multi-agent Systems,Lixin Zou;,Baidu;,China;,Poster,https://www.ijcai.org/proceedings/2021/71,https://www.ijcai.org/proceedings/2021/0071.pdf
13,Distance Polymatrix Coordination Games,Agent-based and Multi-agent Systems,Alessandro Aloisio;Michele Flammini;Bojana Kodric;Cosimo Vinci;,Gran Sasso Science Institute;University of L'Aquila;,Italy;,Poster,https://www.ijcai.org/proceedings/2021/1,https://www.ijcai.org/proceedings/2021/0001.pdf
14,Diversity in Kemeny Rank Aggregation: A Parameterized Approach,Agent-based and Multi-agent Systems,Emmanuel Arrighi;Henning Fernau;Daniel Lokshtanov;Mateus de Oliveira Oliveira;Petra Wolf;,"University of Bergen;University of Trier;University of California, Santa Barbara;",Norway;Germany;United States;,Poster,https://www.ijcai.org/proceedings/2021/2,https://www.ijcai.org/proceedings/2021/0002.pdf
15,Dominant Resource Fairness with Meta-Types,Agent-based and Multi-agent Systems,Steven Yin;Shatian Wang;Lingyi Zhang;Christian Kroer;,Columbia University;,United States;,Poster,https://www.ijcai.org/proceedings/2021/68,https://www.ijcai.org/proceedings/2021/0068.pdf
16,Dynamic Proportional Rankings,Agent-based and Multi-agent Systems,Jonas Israel;Markus Brill;,Technische Universität Berlin;,Germany;,Poster,https://www.ijcai.org/proceedings/2021/37,https://www.ijcai.org/proceedings/2021/0037.pdf
