Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1,2D and 3D millimeter-wave synthetic aperture radar imaging on a PR2 platform,,Claire M. Watts;Patrick Lancaster;Andreas Pedross-Engel;Joshua R. Smith;Matthew S. Reynolds;Claire M. Watts;Patrick Lancaster;Andreas Pedross-Engel;Joshua R. Smith;Matthew S. Reynolds;,University of Washington;,United States;,Poster,https://ieeexplore.ieee.org/document/7759633/,,,
2,3-D force measurement using single axis force sensors in a new single port parallel kinematics surgical manipulator,,Sebastian Matich;Carsten Neupert;Andreas Kirschniak;Helmut F. Schlaak;Peter Pott;Sebastian Matich;Carsten Neupert;Andreas Kirschniak;Helmut F. Schlaak;Peter Pott;,Technische Universität Darmstadt;University Hospital Tübingen;Technische Universitat Darmstadt;,Germany;,Poster,https://ieeexplore.ieee.org/document/7759540/,,,
3,3D contour following for a cylindrical end-effector using capacitive proximity sensors,,Stefan Escaida Navarro;Stefan Koch;Bjórn Hein;Stefan Escaida Navarro;Stefan Koch;Bjórn Hein;,Karlsruhe Institute of Technology;,Germany;,Poster,https://ieeexplore.ieee.org/document/7759038/,,,
4,3D graph based stairway detection and localization for mobile robots,,Thomas Westfechtel;Kazunori Ohno;Bärbel Mertsching;Daniel Nickchen;Shotaro Kojima;Satoshi Tadokoro;Thomas Westfechtel;Kazunori Ohno;Bärbel Mertsching;Daniel Nickchen;Shotaro Kojima;Satoshi Tadokoro;,Tohoku University;Paderborn University;,Japan;Germany;,Poster,https://ieeexplore.ieee.org/document/7759096/,,,
5,3D haptic rendering of tissues for epidural needle insertion using an electro-pneumatic 7 degrees of freedom device,,Pierre-Jean Alès;Nicolas Herzig;Arnaud Lelevé;Richard Moreau;Christian Bauer;Pierre-Jean Alès;Nicolas Herzig;Arnaud Lelevé;Richard Moreau;Christian Bauer;,University of Verona;INSA Lyon;University of Lyon;,Italy;France;,Poster,https://ieeexplore.ieee.org/document/7759760/,,,
6,3D region segmentation using topological persistence,,William J. Beksi;Nikolaos Papanikolopoulos;William J. Beksi;Nikolaos Papanikolopoulos;,University of Minnesota;,United States;,Poster,https://ieeexplore.ieee.org/document/7759183/,,,
7,4 Robotic Revolutions - proposing a holistic phase model describing future disruptions in the evolution of robotics and automation and the rise of a new Generation ‘R’ of Robotic Natives,,Dominik B. O. Boesl;Bernd Liepert;Dominik B. O. Boesl;Bernd Liepert;,Technische Universität München;,Germany;,Poster,https://ieeexplore.ieee.org/document/7759209/,,,
8,4-DoF spherical parallel wrist with embedded grasping capability for minimally invasive surgery,,Wissem Haouas;Redwan Dahmouche;Nadine Le Fort-Piat;Guillaume J. Laurent;Wissem Haouas;Redwan Dahmouche;Nadine Le Fort-Piat;Guillaume J. Laurent;,University Bourgogne Franche-Comté;,France;,Poster,https://ieeexplore.ieee.org/document/7759368/,,,
9,"A bio-inspired tensegrity manipulator with multi-DOF, structurally compliant joints",,Steven Lessard;Dennis Castro;William Asper;Shaurya Deep Chopra;Leya Breanna Baltaxe-Admony;Mircea Teodorescu;Vytas SunSpiral;Adrian Agogino;Steven Lessard;Dennis Castro;William Asper;Shaurya Deep Chopra;Leya Breanna Baltaxe-Admony;Mircea Teodorescu;Vytas SunSpiral;Adrian Agogino;,"University of California, Santa Cruz;NASA Ames Research Center;Stinger Ghaffarian Technologies;",United States;,Poster,https://ieeexplore.ieee.org/document/7759811/,,,
10,A compact representation of human single-object grasping,,Steffen Puhlmann;Fabian Heinemann;Oliver Brock;Marianne Maertens;Steffen Puhlmann;Fabian Heinemann;Oliver Brock;Marianne Maertens;,Technische Universität Berlin;,Germany;,Poster,https://ieeexplore.ieee.org/document/7759308/,,,
