Index,Title,Authors,Affiliation,Status,Link
1,3D Object Detection and Viewpoint Estimation with a Deformable 3D Cuboid Model,"Sanja Fidler, Sven Dickinson, Raquel Urtasun",Toyota Technological Institute at Chicago; University of Toronto,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/839ab46820b524afda05122893c2fe8e-Abstract.html
2,3D Social Saliency from Head-mounted Cameras,"Hyun S. Park, Eakta Jain, Yaser Sheikh",Carnegie Mellon University; Texas Instruments,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/1bf2efbbe0c49b9f567c2e40f645279a-Abstract.html
3,A Bayesian Approach for Policy Learning from Trajectory Preference Queries,"Aaron Wilson, Alan Fern, Prasad Tadepalli",Oregon State University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/16c222aa19898e5058938167c8ab6c57-Abstract.html
4,A Better Way to Pretrain Deep Boltzmann Machines,"Geoffrey E. Hinton, Ruslan Salakhutdinov",University of Toronto,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/7d771e0e8f3633ab54856925ecdefc5d-Abstract.html
5,A Conditional Multinomial Mixture Model for Superset Label Learning,"Liping Liu, Thomas G. Dietterich",Oregon State University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/aaebdb8bb6b0e73f6c3c54a0ab0c6415-Abstract.html
6,A Convex Formulation for Learning Scale-Free Networks via Submodular Relaxation,"Aaron Defazio, Tibério S. Caetano",Australian National University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/58d4d1e7b1e97b258c9ed0b37e02d087-Abstract.html
7,A Divide-and-Conquer Method for Sparse Inverse Covariance Estimation,"Cho-jui Hsieh, Arindam Banerjee, Inderjit S. Dhillon, Pradeep K. Ravikumar",University of Texas at Austin; University of Texas; University of Minnesota,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/184260348236f9554fe9375772ff966e-Abstract.html
8,A dynamic excitatory-inhibitory network in a VLSI chip for spiking information reregistrations,Juan Huo,,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/12780ea688a71dabc284b064add459a4-Abstract.html
9,A Generative Model for Parts-based Object Segmentation,"S. Eslami, Christopher Williams",University of Edinburgh,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/72b32a1f754ba1c09b3695e0cb6cde7f-Abstract.html
10,A Geometric take on Metric Learning,"Søren Hauberg, Oren Freifeld, Michael J. Black",Max Planck Institute for Intelligent Systems; Brown University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/ec5aa0b7846082a2415f0902f0da88f2-Abstract.html
11,A latent factor model for highly multi-relational data,"Rodolphe Jenatton, Nicolas L. Roux, Antoine Bordes, Guillaume R. Obozinski",Ecole Polytechnique; INRIA; Université de Technologie de Compiègne,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/0a1bf96b7165e962e90cb14648c9462d-Abstract.html
12,A lattice filter model of the visual pathway,"Karol Gregor, Dmitri B. Chklovskii",,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/31839b036f63806cba3f47b93af8ccb5-Abstract.html
13,A Linear Time Active Learning Algorithm for Link Classification,"Nicolò Cesa-bianchi, Claudio Gentile, Fabio Vitale, Giovanni Zappella",,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/bf62768ca46b6c3b5bea9515d1a1fc45-Abstract.html
14,A Marginalized Particle Gaussian Process Regression,"Yali Wang, Brahim Chaib-draa",Laval University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/9ad6aaed513b73148b7d49f70afcfb32-Abstract.html
15,A mechanistic model of early sensory processing based on subtracting sparse representations,"Shaul Druckmann, Tao Hu, Dmitri B. Chklovskii",HHMI Janelia Research Campus,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/92977ae4d2ba21425a59afb269c2a14e-Abstract.html
16,A Neural Autoregressive Topic Model,"Hugo Larochelle, Stanislas Lauly",Universit u00e9 de Sherbrooke,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/b495ce63ede0f4efc9eec62cb947c162-Abstract.html
17,A new metric on the manifold of kernel matrices with application to matrix geometric means,Suvrit Sra,Max Planck Institute for Intelligent Systems,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/98dce83da57b0395e163467c9dae521b-Abstract.html
18,A Nonparametric Conjugate Prior Distribution for the Maximizing Argument of a Noisy Function,"Pedro Ortega, Jordi Grau-moya, Tim Genewein, David Balduzzi, Daniel Braun",Max Planck Institute for Intelligent Systems; Max Planck Institute for Biological Cybernetics,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/a9be4c2a4041cadbf9d61ae16dd1389e-Abstract.html
19,A nonparametric variable clustering model,"Konstantina Palla, Zoubin Ghahramani, David A. Knowles",University of Cambridge; Stanford University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/af4732711661056eadbf798ba191272a-Abstract.html
20,A P300 BCI for the Masses: Prior Information Enables Instant Unsupervised Spelling,"Pieter-jan Kindermans, Hannes Verschore, David Verstraeten, Benjamin Schrauwen",Ghent University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/c042f4db68f23406c6cecf84a7ebb0fe-Abstract.html
21,A Polylog Pivot Steps Simplex Algorithm for Classification,"Elad Hazan, Zohar Karnin",Technion - Israel Institute of Technology; Yahoo!,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/d296c101daa88a51f6ca8cfc1ac79b50-Abstract.html
22,A Polynomial-time Form of Robust Regression,"Yao-liang Yu, Özlem Aslan, Dale Schuurmans",University of Alberta,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/ae5e3ce40e0404a45ecacaaf05e5f735-Abstract.html
23,A quasi-Newton proximal splitting method,"Stephen Becker, Jalal Fadili",UPMC; GREYC,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/e034fb6b66aacc1d48f445ddfb08da98-Abstract.html
24,A Scalable CUR Matrix Decomposition Algorithm: Lower Time Complexity and Tighter Bound,"Shusen Wang, Zhihua Zhang",Zhejiang University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/34ed066df378efacc9b924ec161e7639-Abstract.html
25,A Simple and Practical Algorithm for Differentially Private Data Release,"Moritz Hardt, Katrina Ligett, Frank Mcsherry",IBM; California Institute of Technology; Cornell University; Microsoft,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/208e43f0e45c4c78cafadb83d2888cb6-Abstract.html
26,A Spectral Algorithm for Latent Dirichlet Allocation,"Anima Anandkumar, Dean P. Foster, Daniel J. Hsu, Sham M. Kakade, Yi-kai Liu","University of California, Irvine; University of Pennsylvania; Microsoft; National Institute of Standards and Technology",Poster,https://papers.nips.cc/paper_files/paper/2012/hash/15d4e891d784977cacbfcbb00c48f133-Abstract.html
27,A Stochastic Gradient Method with an Exponential Convergence _Rate for Finite Training Sets,"Nicolas L. Roux, Mark Schmidt, Francis R. Bach",INRIA - ENS,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/905056c1ac1dad141560467e0a99e1cf-Abstract.html
