Index,Title,Authors,Affiliation,Status,Link
1,(De)Randomized Smoothing for Certifiable Defense against Patch Attacks,"Alexander Levine, Soheil Feizi",University of Maryland,Poster,https://nips.cc/virtual/2020/poster/18518
2,3D Multi-bodies: Fitting Sets of Plausible 3D Human Models to Ambiguous Image Data,"Benjamin Biggs, David Novotny, Sebastien Ehrhardt, Hanbyul Joo, Ben Graham, Andrea Vedaldi",University of Cambridge; University of Oxford; Meta,Spotlight,https://nips.cc/virtual/2020/poster/18542
3,3D Self-Supervised Methods for Medical Imaging,"Aiham Taleb, Winfried Loetzsch, Noel Danz, Julius Severin, Thomas Gaertner, Benjamin Bergner, Christoph Lippert",Hasso-Plattner-Institute,Poster,https://nips.cc/virtual/2020/poster/17466
4,3D Shape Reconstruction from Vision and Touch,"Edward Smith, Roberto Calandra, Adriana Romero, Georgia Gkioxari, David Meger, Jitendra Malik, Michal Drozdzal","Meta; McGill University; University of California, Berkeley",Poster,https://nips.cc/virtual/2020/poster/18079
5,A Bandit Learning Algorithm and Applications to Auction Design,Kim Thang Nguyen,University Paris-Saclay,Spotlight,https://nips.cc/virtual/2020/poster/18651
6,A Bayesian Nonparametrics View into Deep Representations,"Michał Jamroż, Marcin Kurdziel, Mateusz Opala",AGH University of Science and Technology,Poster,https://nips.cc/virtual/2020/poster/17394
7,A Bayesian Perspective on Training Speed and Model Selection,"Clare Lyle, Lisa Schut, Robin Ru, Yarin Gal, Mark van der Wilk",University of Oxford; Imperial College London,Poster,https://nips.cc/virtual/2020/poster/18315
8,A Benchmark for Systematic Generalization in Grounded Language Understanding,"Laura Ruis, Jacob Andreas, Marco Baroni, Diane Bouchacourt, Brenden M Lake",University of Amsterdam; Meta; Massachusetts Institute of Technology; Institució Catalana de Recerca i Estudis Avançats; New York University,Poster,https://nips.cc/virtual/2020/poster/18200
9,A Biologically Plausible Neural Network for Slow Feature Analysis,"David Lipshutz, Charles Windolf, Siavash Golkar, Dmitri B. Chklovskii",Flatiron Institute; Columbia University; New York University,Poster,https://nips.cc/virtual/2020/poster/18204
10,A Boolean Task Algebra for Reinforcement Learning,"Geraud Nangue Tasse, Steven James, Benjamin Rosman",University of the Witwatersrand,Poster,https://nips.cc/virtual/2020/poster/17054
11,A Catalyst Framework for Minimax Optimization,"Junchi Yang, Siqi Zhang, Negar Kiyavash, Niao He",University of Illinois Urbana-Champaign; EPFL,Poster,https://nips.cc/virtual/2020/poster/18390
12,A causal view of compositional zero-shot recognition,"Yuval Atzmon, Felix Kreuk, Uri Shalit, Gal Chechik",NVIDIA; Bar-Ilan University; Technion - Israel Institute of Technology,Spotlight,https://nips.cc/virtual/2020/poster/18848
13,A Causal View on Robustness  of Neural Networks,"Cheng Zhang, Kun Zhang, Yingzhen Li",Microsoft; Carnegie Mellon University,Poster,https://nips.cc/virtual/2020/poster/18059
14,A Class of Algorithms for General Instrumental Variable Models,"Niki Kilbertus, Matt J Kusner, Ricardo Silva",,Poster,https://nips.cc/virtual/2020/poster/16971
15,A Closer Look at Accuracy vs. Robustness,"Yao-Yuan Yang, Cyrus Rashtchian, Hongyang Zhang, Ruslan Salakhutdinov, Kamalika Chaudhuri","University of California, San Diego; Toyota Technological Institute at Chicago; Carnegie Mellon University",Poster,https://nips.cc/virtual/2020/poster/17187
