番号,title,status,decision_raw,rating,all_ratings,authors,href
6188,Stress-Testing Capability Elicitation With Password-Locked Models,poster,Accept (poster),6.25,"[8, 7, 5, 5]","Ryan Greenblatt, Fabien Roger, Dmitrii Krasheninnikov, David Krueger",https://openreview.net/forum?id=zzOOqD6R1b
2371,Cooperative Hardware-Prompt Learning for Snapshot Compressive Imaging,poster,Accept (poster),5.5,"[5, 5, 6, 6]","Jiamian Wang, Zongliang Wu, Yulun Zhang, Xin Yuan, Tao Lin, ZHIQIANG TAO",https://openreview.net/forum?id=zxSWIdyW3A
274,"PERIA: Perceive, Reason, Imagine, Act via Holistic Language and Vision Planning for Manipulation",poster,Accept (poster),6.25,"[6, 6, 7, 6]","Fei Ni, Jianye HAO, Shiguang Wu, Longxin Kou, Yifu Yuan, Zibin Dong, Jinyi Liu, MingZhi Li, Yuzheng Zhuang, YAN ZHENG",https://openreview.net/forum?id=zw2K6LfFI9
15161,Toward Global Convergence of Gradient EM for Over-Paramterized Gaussian Mixture Models,poster,Accept (poster),6.0,"[6, 6, 6, 6]","Weihang Xu, Maryam Fazel, Simon Shaolei Du",https://openreview.net/forum?id=zv9gYC3xgF
9701,IDGen: Item Discrimination Induced Prompt Generation for LLM Evaluation,poster,Accept (poster),5.0,"[7, 4, 4]","Fan Lin, Shuyi Xie, Yong Dai, Wenlin Yao, TianJiao Lang, Yu Zhang",https://openreview.net/forum?id=zv4UISZzp5
5623,Procedure-Aware Surgical Video-language Pretraining with Hierarchical Knowledge Augmentation,spotlight,Accept (spotlight),6.75,"[8, 8, 6, 5]","Kun yuan, Vinkle Srivastav, Nassir Navab, Nicolas Padoy",https://openreview.net/forum?id=zuwpeRkJNH
11058,A Separation in Heavy-Tailed Sampling: Gaussian vs. Stable Oracles for Proximal Samplers,poster,Accept (poster),7.0,"[7, 7, 7, 8, 6]","Ye He, Alireza Mousavi-Hosseini, Krishna Balasubramanian, Murat A Erdogdu",https://openreview.net/forum?id=zuwLGhgxtQ
19443,How DNNs break the Curse of Dimensionality: Compositionality and Symmetry Learning,reject,Reject,6.0,"[5, 7, 6]","Arthur Jacot, Seok Hoan Choi, Yuxiao Wen",https://openreview.net/forum?id=zuWgB7GerW
1456,OxonFair: A Flexible Toolkit for Algorithmic Fairness,poster,Accept (poster),6.0,"[7, 7, 6, 4, 6]","Eoin D. Delaney, Zihao Fu, Sandra Wachter, Brent Mittelstadt, Chris Russell",https://openreview.net/forum?id=ztwl4ubnXV
3476,G2D: From Global to Dense Radiography Representation Learning via Vision-Language Pre-training,poster,Accept (poster),5.5,"[5, 5, 6, 6]","Che Liu, Cheng Ouyang, Sibo Cheng, Anand Shah, Wenjia Bai, Rossella Arcucci",https://openreview.net/forum?id=zsXbGJJ7Oo
10275,Generative Semi-supervised Graph Anomaly Detection,poster,Accept (poster),5.6,"[5, 6, 5, 5, 7]","Hezhe Qiao, Qingsong Wen, Xiaoli Li, Ee-Peng Lim, Guansong Pang",https://openreview.net/forum?id=zqLAMwVLkt
14580,RashomonGB: Analyzing the Rashomon Effect and Mitigating Predictive Multiplicity in Gradient Boosting,poster,Accept (poster),6.0,"[6, 5, 7, 6]","Hsiang Hsu, Ivan Brugere, Shubham Sharma, Freddy Lecue, Chun-Fu Chen",https://openreview.net/forum?id=zpw6NmhvKU
14022,TAS-GNN: Topology-Aware Spiking Graph Neural Networks for Graph Classification,reject,Reject,5.5,"[6, 7, 3, 6]","SunJong Park, Hyeyoon Lee, Kanghyun Choi, Dain Kwon, Jongkil Park, Seongsik Park, Jinho Lee",https://openreview.net/forum?id=znBiAp5ISn
20228,GraphCroc: Cross-Correlation Autoencoder for Graph Structural Reconstruction,poster,Accept (poster),5.33,"[5, 6, 5]","Shijin Duan, Ruyi Ding, Jiaxing He, Aidong Adam Ding, Yunsi Fei, Xiaolin Xu",https://openreview.net/forum?id=zn6s6VQYb0
7262,"Segment, Shuffle, and Stitch: A Simple Layer for Improving Time-Series Representations",poster,Accept (poster),5.8,"[5, 4, 8, 6, 6]","Shivam Grover, Amin Jalali, Ali Etemad",https://openreview.net/forum?id=zm1LcgRpHm
19341,Rethinking Deep Thinking: Stable Learning of Algorithms using Lipschitz Constraints,poster,Accept (poster),6.5,"[6, 8, 6, 6]","Jay Bear, Adam Prugel-Bennett, Jonathon Hare",https://openreview.net/forum?id=zlgfRk2CQa
6345,Unsupervised Homography Estimation on Multimodal Image Pair via Alternating Optimization,poster,Accept (poster),5.33,"[3, 7, 6]","Sanghyeob Song, Jaihyun Lew, Hyemi Jang, Sungroh Yoon",https://openreview.net/forum?id=zkhyrxlwqH
